08:28:46.909 INFO  SIP2_GIS_SERVICE. [List Show] 
08:55:26.021 INFO  SIP2_GIS_SERVICE. [List Show] 
09:03:53.753 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515105] [77.265467], [Live Location] 
09:03:55.251 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5503179] [77.2655004], [Live Location] 
09:03:55.269 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5503179] [77.2655004], [Live Location] 
09:04:04.726 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515105] [77.265467], [Live Location] 
09:04:04.739 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515105] [77.265467], [Live Location] 
09:04:13.711 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5481106] [77.2765874], [Live Location] 
09:04:13.731 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5481106] [77.2765874], [Live Location] 
09:04:15.705 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515105] [77.265467], [Live Location] 
09:04:15.726 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515105] [77.265467], [Live Location] 
09:04:25.894 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515075] [77.2654416], [Live Location] 
09:04:25.913 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515075] [77.2654416], [Live Location] 
09:04:36.705 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515075] [77.2654416], [Live Location] 
09:04:36.723 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515075] [77.2654416], [Live Location] 
09:04:37.641 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504212] [77.265431], [Live Location] 
09:04:37.654 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504212] [77.265431], [Live Location] 
09:04:47.734 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515075] [77.2654416], [Live Location] 
09:04:47.750 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515075] [77.2654416], [Live Location] 
09:04:57.742 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515044] [77.2654701], [Live Location] 
09:04:57.763 INFO  SIP2_GIS_SERVICE.[9650560987] [28.5515044] [77.2654701], [Live Location] 
09:05:04.358 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5501003] [77.2744577], [Live Location] 
09:05:04.371 INFO  SIP2_GIS_SERVICE.[9560597211] [28.5501003] [77.2744577], [Live Location] 
09:05:08.647 INFO  SIP2_GIS_SERVICE.[9205784671] [28.5504251] [77.2654314], [Live Location] 
